Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
veggie-balls,Veggie Balls,"Pack includes beetroot, spinach, eggplant, walnut and recipe for this delicious vegetarian meal (4 persons) that will impress even the most pernickety guest",foodly-store,"","spinach, vegetables",true,Title,Default Title,,,,,"",0,,1,deny,manual,29.99,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/pack-image_grande_3837a501-1d78-48f6-8030-3f50a78faa16.png?v=1478095494,1,,false,,,,,,,,,,,,,,,,,kg,
bell-pepper,Bell pepper,"All red, yellow, and orange peppers start out green. The color changes and their sweetness increases depending on how long they're allowed to ripen on the vine. In Season: Bell peppers are available year-round, but they're at their best from July through November.
<h2>[Nutritional value]</h2>
<p>Energy|20kcal, Carbohydrates|4.6g, Fat|0.2g, Protein|1.2g</p>
<ul></ul>
<p>Vitamins:a,c,b6,e</p>
<p>Minerals:Fe,Ma</p>",Foodly,Harvest 2016,"",true,Title,Default Title,,,,,"",454,,1,deny,manual,6.99,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/paprika.jpg?v=1476191105,1,,false,,,,,,,,,,,,,,,,,lb,
eggplant,Eggplant,"The eggplant, also known as aubergine, garden egg, guinea squash, melongene, and brinjal, is usually distinguishable by its signature egg-like shape and vibrant purple color. Although the dark purple version of eggplants is best known, they actually come in a variety of shapes and colors from small and oblong to long and skinny, from shades of purple to white and green.
<h2>[Nutritional value]</h2>
<p>Energy|25kcal, Carbohydrates|6g, Fat|0.2g, Protein|1g</p>
<ul></ul>
<p>Vitamins:c,b6,</p>
<p>Minerals:Fe,Mg</p>",Foodly,Harvest 2016,"",true,Title,Default Title,,,,,"",1000,,1,deny,manual,7.50,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/eggplant.jpg?v=1476190860,1,,false,,,,,,,,,,,,,,,,,kg,
avocado,Avocado,"<p>Avocados are commercially valuable and are cultivated in tropical and Mediterranean climates throughout the world.[3] They have a green-skinned, fleshy body that may be pear-shaped, egg-shaped, or spherical. Commercially, they ripen after harvesting. Avocado trees are partially self-pollinating and often are propagated through grafting to maintain a predictable quality and quantity of the fruit.</p>
<h2>[Nutritional value]</h2>
<p>Energy|20kcal, Carbohydrates|9g, Fat|8g, Protein|1g</p>
<ul></ul>
<p>Vitamins:c,e,k</p>
<p>Minerals:Cu,Mg,Zn</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",454,,1,deny,manual,3.00,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/avocado.jpg?v=1476190534,1,,false,,,,,,,,,,,,,,,,,lb,
wooden-spoon,Wooden Spoon,"Richly grained acacia wood turns out in smooth, sculptural serving essentials, naturally suited to everyday use, entertaining or artful display. Spoon rounds in organic curves to hold salads, snacks, fruit or collectibles. Each piece is given a clear lacquer finish to bring out the wood's warm color and individual markings. Harvested from well-managed forests in the Philippines under close supervision of the local government's reforestation program.",foodly-store,Alder wood,"",true,Title,Default Title,,,,,"",454,,1,deny,manual,49.99,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/spoon.jpg?v=1473490998,1,,false,,,,,,,,,,,,,,,,,lb,
wooden-bowls,Wooden Bowls,"Richly grained acacia wood turns out in smooth, sculptural serving essentials, naturally suited to everyday use, entertaining or artful display. Bowls round in organic curves to hold salads, snacks, fruit or collectibles. Each piece is given a clear lacquer finish to bring out the wood's warm color and individual markings. Harvested from well-managed forests in the Philippines under close supervision of the local government's reforestation program.",foodly-store,Alder wood,"",true,Title,Default Title,,,,,"",28,,1,deny,manual,103.99,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/bowl.jpg?v=1473490962,1,,false,,,,,,,,,,,,,,,,,oz,
leek,Leek,"<p>Leeks have a mild, onion-like taste. In its raw state, the vegetable is crunchy and firm. The edible portions of the leek are the white base of the leaves (above the roots and stem base), the light green parts, and to a lesser extent the dark green parts of the leaves. One of the most popular uses is for adding flavor to stock.</p>
<h1>[Nutritional value]</h1>
<p>Energy|61Kcal, Carbohydrates|14g, Protein|0.9g, Total Fat|0.3g, Dietary Fiber|1.5g</p>
<p><span>Vitamins:a,c,b6</span></p>
<p><span>Minerals:Fe,Ca,Mn,Ma</span></p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",1000,,1,deny,manual,13.00,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/leek.jpg?v=1473490100,1,,false,,,,,,,,,,,,,,,,,kg,
cherry-tomatoes-2016,Cherry Tomatoes 2016,"<p>These Cherry tomatoes just might be the sweetest little tomatoes we’ve ever offered. It is all thanks to perfect weather conditions this season. Very small, firm and juicy, it’s a great choice when you’re looking for a fresh and nutritious option for snacking. And when you’re making salads, just wash and toss in – no slicing required.</p>
<h1>[Nutritional value]</h1>
<p>Energy|18Kcal, Carbohydrates|3.9g, Protein|0.9g, Total Fat|0.2g, Dietary Fiber|1.2g</p>
<p><span>Vitamins:a,c,e,k</span></p>
<p><span>Minerals:Ca,Zn,Ma,P,Mn</span></p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",1000,,1,deny,manual,6.90,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/cherry-tomatoes.jpg?v=1473490001,1,,false,,,,,,,,,,,,,,,,,kg,
green-beans,Green Beans,"<p>Green beans are eaten around the world, and are marketed canned, frozen, and fresh. Green beans are often steamed, boiled, stir-fried, or baked in casseroles. A dish with green beans popular throughout the United States, particularly at Thanksgiving, is green bean casserole, which consists of green beans, cream of mushroom soup, and French fried onions.</p>
<h2>[Nutritional value]</h2>
<p><span>Energy | 31kcal, </span><span>Carbohydrates |7 g, </span><span>Fat | 0.1 g</span><span>, Protein</span><span> | 1.8 </span>g</p>
<ul></ul>
<p><span>Vitamins:c,k,b2,b6,b7</span></p>
<p>Minerals:Mg,Fe,Mn,P</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",454,,1,deny,manual,2.99,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/green-beans.jpg?v=1473489516,1,,false,,,,,,,,,,,,,,,,,lb,
cucumber,Cucumber,"<p>The heart-shaped silhouette of the strawberry is the first clue that this fruit is good for you. These potent little packages protect your heart, increase HDL (good) cholesterol, lower your blood pressure, and guard against cancer.</p>
<h2>[Nutritional value]</h2>
<p><span>Energy | 16kcal, </span><span>Carbohydrates |3.6 g, </span><span>Fat | 0.1 g</span><span>, Protein</span><span> | 0.7 </span>g</p>
<ul></ul>
<p><span>Vitamins:c,k,b5,b6</span></p>
<p>Minerals:Ca,Mg,Fe,Mn,Zn</p>",foodly-store,Harvest 2016,"",true,Title,Default Title,,,,,"",1000,,1,deny,manual,16.80,,true,true,"",https://cdn.shopify.com/s/files/1/1148/3974/products/cucumber.jpg?v=1473489264,1,,false,,,,,,,,,,,,,,,,,kg,
